Time,Photovoltaic panel Power Output (kW),Wind Turbine Power Output (kW),Generator Power Output (kW),Generator Fuel (m??),Total Electrical Load Served (kW),Renewable Penetration (%),Excess Electrical Production (kW),Total Renewable Power Output (kW),Inverter Power Output (kW),Rectifier Power Output (kW),Battery Charge Power (kW),Battery Discharge Power (kW),Battery State of Charge (%)
01-01-07 0:00,0,0,0,0,18.50257,0,0,0,18.50257,0,0,20.55841,98.20293
01-01-07 1:00,0,0,0,0,17.87342,0,0,0,17.87342,0,0,19.85935,96.46697
01-01-07 2:00,0,0,0,0,26.31659,0,0,0,26.31659,0,0,29.24065,93.91097
01-01-07 3:00,0,0,0,0,32.4042,0,0,0,32.4042,0,0,36.00467,90.7637
01-01-07 4:00,0,0,0,0,32.53897,0,0,0,32.53897,0,0,36.15441,87.60335
01-01-07 5:00,0,0,0,0,17.37097,0,0,0,17.37097,0,0,19.30108,85.91619
01-01-07 6:00,0,0,0,0,3.071171,0,0,0,3.071171,0,0,3.412412,85.6179
01-01-07 7:00,7.872308,0,0,0,4.064334,193.6925,0,7.872308,4.064334,0,3.356382,0,85.80567
01-01-07 8:00,14.0846,5.639925,0,0,5.196461,379.5761,0,19.72452,0,0.3991182,14.48372,0,86.61595
01-01-07 9:00,25.70485,6.800035,0,0,6.608637,491.8546,0,32.50489,0,0.1722571,25.87711,0,88.06362
01-01-07 10:00,6.040092,12.61806,0,0,5.540644,336.7505,0,18.65815,0,6.369671,12.40976,0,88.75788
01-01-07 11:00,4.564925,20.94857,0,0,7.184641,355.1116,0,25.51349,0,12.38753,16.95246,0,89.70627
01-01-07 12:00,23.20347,11.27311,0,0,6.894939,500.0273,0,34.47657,0,3.940351,27.14382,0,91.22481
01-01-07 13:00,19.52974,5.576788,0,0,5.518261,454.9718,0,25.10653,0,0.05267444,19.58242,0,92.32033
01-01-07 14:00,7.939921,13.6577,0,0,5.033462,429.0809,0,21.59762,0,7.761815,15.70174,0,93.19875
01-01-07 15:00,4.053539,6.472405,0,0,3.598251,292.5295,0,10.52594,0,2.586739,6.640278,0,93.57023
